,,,,,,,,,,,,,,,,,,
,Use overview sheet to select carrier and module ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,TE0705_REV04,,,,,,,,B2B,,TE0712_REV03,,,,,,Carrier + Module (PCB only)
,Index,Conn Pin name,Desig.,Pin,intermediate,Carrier Net Name,#netname,C. Trace Length (mm),others,pin c,pin m,others,intermediate,Module Net Name,#netname,FPGA Pin,M. Trace Length (mm),Total trace length (mm)
,109,B2B-VCCIOD,JB2,10,---,VIOTB,38,---,---,---,---,---,---,---,---,---,---,---
,110,B2B-PWR_M1,JB2,9,---,3.3VOUT,14,---,---,---,---,---,---,---,---,---,---,---
,111,B2B-IO-G3,JB2,12,---,IOB17,2,65.9381,J13-22,JB2-12,JM2-11,---,---,B14_L8_N,2,AA21,8.3428,74.2809
,112,B2B-PWR_M1,JB2,11,---,3.3VOUT,14,---,---,---,---,---,---,---,---,---,---,---
,113,B2B-IO-G3,JB2,14,---,IOA14,2,54.8232,J11-19,JB2-14,JM2-13,---,---,B14_L8_P,2,AA20,8.3428,63.166
,114,B2B-IO-G3,JB2,13,---,NetJB2_13,1,---,---,JB2-13,JM2-14,---,---,B14_L10_N,2,AB22,10.7098,---
,115,B2B-IO-G3,JB2,16,---,IOA15,2,52.9602,J11-20,JB2-16,JM2-15,---,---,B14_L17_N,2,AB18,6.259,59.2192
,116,B2B-IO-G3,JB2,15,---,NetJB2_15,1,---,---,JB2-15,JM2-16,---,---,B14_L10_P,2,AB21,10.6669,---
,117,B2B-IO-G3,JB2,18,---,IOB18,2,63.3144,J13-23,JB2-18,JM2-17,---,---,B14_L17_P,2,AA18,6.6898,70.0042
,118,B2B-SC_nRST,JB2,17,---,RESIN,2,109.7361,U14-54,JB2-17,JM2-18,U3-16,---,RESIN,3,--,30.9708,140.7069
,119,B2B-PWR_M3/NC,JB2,20,---,NetJB2_20,1,---,---,JB2-20,JM2-19,---,---,1.5V,97,AA7,179.4112,---
,120,B2B-GND,JB2,19,---,GND,260,---,---,---,---,---,---,---,---,---,---,---
,121,B2B-IO-G3,JB2,22,PA3_P --> R37 --> ,NetD17_3,3,41.6047,J5-5,JB2-22,JM2-21,---,---,B14_L14_P,2,V18,14.0476,55.6523
,122,B2B-IO-G3,JB2,21,PA0_N --> R49 --> ,NetD16_4,3,34.9063,J5-3,JB2-21,JM2-22,---,---,B14_L12_P,2,W19,21.6887,56.595
,123,B2B-IO-G3,JB2,24,PA3_N --> R37 --> ,NetD17_4,3,41.6938,J5-7,JB2-24,JM2-23,---,---,B14_L14_N,2,V19,14.0489,55.7427
,124,B2B-IO-G3,JB2,23,PA0_P --> R49 --> ,NetD16_3,3,33.0069,J5-1,JB2-23,JM2-24,---,---,B14_L12_N,2,W20,22.5502,55.5571
,125,B2B-IO-G3,JB2,26,PA2_P --> R37 --> ,NetD17_1,3,33.0422,J5-6,JB2-26,JM2-25,---,---,B14_L13_P,2,Y18,11.1882,44.2304
,126,B2B-IO-G3,JB2,25,PA1_N --> R49 --> ,NetD16_6,3,26.634,J5-4,JB2-25,JM2-26,---,---,B14_L11_P,2,U20,17.6078,44.2418
,127,B2B-IO-G3,JB2,28,PA2_N --> R37 --> ,NetD17_6,3,33.101,J5-8,JB2-28,JM2-27,---,---,B14_L13_N,2,Y19,12.0552,45.1562
,128,B2B-IO-G3,JB2,27,PA1_P --> R49 --> ,NetD16_1,3,28.4548,J5-2,JB2-27,JM2-28,---,---,B14_L11_N,2,V20,17.3013,45.7561
,129,B2B-GND,JB2,30,---,NetJB2_30,1,---,---,JB2-30,JM2-29,---,---,NetJM2_29,1,--,0,---
,130,B2B-GND,JB2,29,---,GND,260,---,---,---,---,---,---,---,---,---,---,---
,131,B2B-IO-G3,JB2,32,---,IOA16,2,49.7568,J11-21,JB2-32,JM2-31,---,---,B14_L16_P,2,V17,14.5088,64.2656
,132,B2B-IO-G4,JB2,31,PB0_P --> R50 --> ,NetD21_3,3,52.0135,J6-8,JB2-31,JM2-32,---,---,B15_L9_N,2,K22,26.6635,78.677
,133,B2B-IO-G3,JB2,34,---,IOB28,2,61.0927,J13-33,JB2-34,JM2-33,---,---,B14_L16_N,2,W17,14.2022,75.2949
,134,B2B-IO-G4,JB2,33,PB0_N --> R50 --> ,NetD21_4,3,51.2202,J6-6,JB2-33,JM2-34,---,---,B15_L9_P,2,K21,26.5997,77.8199
,135,B2B-IO-G3,JB2,36,---,IOA17,2,45.5227,J11-22,JB2-36,JM2-35,---,---,B14_L15_P,2,AA19,13.8193,59.342
,136,B2B-IO-G4,JB2,35,---,IOB26,2,59.4981,J13-31,JB2-35,JM2-36,---,---,B15_L8_N,2,G20,29.3693,88.8674
,137,B2B-IO-G3,JB2,38,---,IOB24,2,61.1496,J13-29,JB2-38,JM2-37,---,---,B14_L15_N,2,AB20,13.706,74.8556
,138,B2B-IO-G4,JB2,37,---,NetJB2_37,1,---,---,JB2-37,JM2-38,---,---,B15_L8_P,2,H20,28.9533,---
,139,B2B-GND,JB2,40,---,GND,260,---,---,---,---,---,---,---,---,---,---,---
,140,B2B-GND,JB2,39,---,GND,260,---,---,---,---,---,---,---,---,---,---,---
,141,B2B-IO-G4,JB2,42,---,IOB25,2,57.294,J13-30,JB2-42,JM2-41,---,---,B15_L23_P,2,L16,22.8323,80.1263
,142,B2B-IO-G4,JB2,41,PB1_P --> R50 --> ,NetD21_1,3,46.2508,J6-7,JB2-41,JM2-42,---,---,B15_L7_N,2,H22,32.5852,78.836
,143,B2B-IO-G4,JB2,44,---,IOB19,2,53.6196,J13-24,JB2-44,JM2-43,---,---,B15_L23_N,2,K16,23.2483,76.8679
,144,B2B-IO-G4,JB2,43,PB1_N --> R50 --> ,NetD21_6,3,45.4868,J6-5,JB2-43,JM2-44,---,---,B15_L7_P,2,J22,32.1818,77.6686
,145,B2B-IO-G4,JB2,46,---,IOA24,2,49.3003,J11-29,JB2-46,JM2-45,---,---,B15_L19_P,2,K13,21.8106,71.1109
,146,B2B-IO-G4,JB2,45,PB3_P --> R38 --> ,NetD19_4,3,44.6129,J6-3,JB2-45,JM2-46,---,---,B15_L13_P,2,K18,30.3699,74.9828
,147,B2B-IO-G4,JB2,48,---,IOA18,2,45.4007,J11-23,JB2-48,JM2-47,---,---,B15_L19_N,2,K14,23.2989,68.6996
,148,B2B-IO-G4,JB2,47,PB3_N --> R38 --> ,NetD19_3,3,41.9932,J6-1,JB2-47,JM2-48,---,---,B15_L13_N,2,K19,31.0492,73.0424
,149,B2B-GND,JB2,50,---,GND,260,---,---,---,---,---,---,---,---,---,---,---
,150,B2B-GND,JB2,49,---,GND,260,---,---,---,---,---,---,---,---,---,---,---
,151,B2B-IO-G4,JB2,52,---,IOA19,2,41.0663,J11-24,JB2-52,JM2-51,---,---,B15_L11_P,2,J20,30.1484,71.2147
,152,B2B-IO-G4,JB2,51,PB2_N --> R38 --> ,NetD19_1,3,33.4899,J6-2,JB2-51,JM2-52,---,---,B15_L14_P,2,L19,28.1794,61.6693
,153,B2B-IO-G4,JB2,54,---,IOA25,2,44.9165,J11-30,JB2-54,JM2-53,---,---,B15_L11_N,2,J21,30.7639,75.6804
,154,B2B-IO-G4,JB2,53,PB2_P --> R38 --> ,NetD19_6,3,33.5856,J6-4,JB2-53,JM2-54,---,---,B15_L14_N,2,L20,28.4191,62.0047
,155,B2B-IO-G4,JB2,56,---,IOB21,2,48.5642,J13-26,JB2-56,JM2-55,---,---,B15_L3_P,2,J14,25.8274,74.3916
,156,B2B-IO-G4,JB2,55,---,IOB34,2,51.8016,J13-39,JB2-55,JM2-56,---,---,B15_L12_P,2,J19,32.3125,84.1141
,157,B2B-IO-G4,JB2,58,---,IOB22,2,56.2982,J13-27,JB2-58,JM2-57,---,---,B15_L3_N,2,H14,26.2308,82.529
,158,B2B-IO-G4,JB2,57,---,IOB35,2,48.3049,J13-40,JB2-57,JM2-58,---,---,B15_L12_N,2,H19,32.5884,80.8933
,159,B2B-GND,JB2,60,---,GND,260,---,---,---,---,---,---,---,---,---,---,---
,160,B2B-GND,JB2,59,---,GND,260,---,---,---,---,---,---,---,---,---,---,---
,161,B2B-IO-G4,JB2,62,---,IOA22,2,45.3362,J11-27,JB2-62,JM2-61,---,---,B15_L17_N,2,N19,25.257,70.5932
,162,B2B-IO-G4,JB2,61,---,IOA34,2,40.395,J11-39,JB2-61,JM2-62,---,---,B15_L10_N,2,L21,33.115,73.51
,163,B2B-IO-G4,JB2,64,---,IOA20,2,39.5677,J11-25,JB2-64,JM2-63,---,---,B15_L17_P,2,N18,25.0292,64.5969
,164,B2B-IO-G4,JB2,63,---,IOA35,2,36.3979,J11-40,JB2-63,JM2-64,---,---,B15_L10_P,2,M21,31.8407,68.2386
,165,B2B-IO-G4,JB2,66,---,IOA21,2,37.198,J11-26,JB2-66,JM2-65,---,---,B15_L16_P,2,M18,27.2455,64.4435
,166,B2B-IO-G4,JB2,65,---,IOB33,2,45.6288,J13-38,JB2-65,JM2-66,---,---,B15_L18_P,2,N20,31.0743,76.7031
,167,B2B-IO-G4,JB2,68,---,IOB20,2,46.1032,J13-25,JB2-68,JM2-67,---,---,B15_L16_N,2,L18,28.2594,74.3626
,168,B2B-IO-G4,JB2,67,---,IOA32,2,37.9342,J11-37,JB2-67,JM2-68,---,---,B15_L18_N,2,M20,31.9314,69.8656
,169,B2B-GND,JB2,70,---,GND,260,---,---,---,---,---,---,---,---,---,---,---
,170,B2B-GND,JB2,69,---,GND,260,---,---,---,---,---,---,---,---,---,---,---
,171,B2B-IO-G4,JB2,72,---,IOB23,2,42.2682,J13-28,JB2-72,JM2-71,---,---,B15_L1_P,2,H13,28.9412,71.2094
,172,B2B-IO-G4,JB2,71,---,IOA33,2,34.1875,J11-38,JB2-71,JM2-72,---,---,B15_L20_P,2,M13,28.2953,62.4828
,173,B2B-IO-G4,JB2,74,---,IOA23,2,33.6066,J11-28,JB2-74,JM2-73,---,---,B15_L1_N,2,G13,29.2171,62.8237
,174,B2B-IO-G4,JB2,73,---,IOB32,2,45.9174,J13-37,JB2-73,JM2-74,---,---,B15_L20_N,2,L13,28.5012,74.4186
,175,B2B-IO-G4,JB2,76,---,Y0,2,64.5359,U14-15,JB2-76,JM2-75,---,---,B15_L2_N,2,G16,34.474,99.0099
,176,B2B-IO-G4,JB2,75,---,IOB31,2,42.5998,J13-36,JB2-75,JM2-76,---,---,B15_L15_P,2,N22,37.0917,79.6915
