Copyright 1986-2022 Xilinx, Inc. All Rights Reserved. Copyright 2022-2024 Advanced Micro Devices, Inc. All Rights Reserved.
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2024.2 (lin64) Build 5239630 Fri Nov 08 22:34:34 MST 2024
| Date         : Wed Apr  1 14:46:27 2026
| Host         : bwrcix-1.EECS.Berkeley.EDU running 64-bit Red Hat Enterprise Linux 9.6 (Plow)
| Command      : report_utilization -hierarchical -file /scratch/lorenhung/chipyard/fpga/generated-src/chipyard.fpga.vcu118.VCU118FPGATestHarness.CustomSaturnVCU118Config/obj/report/utilization.txt
| Design       : VCU118FPGATestHarness
| Device       : xcvu9p-flga2104-2L-e
| Speed File   : -2L
| Design State : Physopt postRoute
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
|                                            Instance                                           |                                       Module                                       | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|         intsource                                                                             |                                                         IntSyncCrossingSource_n1x2 |          0 |          0 |       0 |    0 |     2 |      0 |      0 |    0 |          0 |
|           reg_0                                                                               |                                                        AsyncResetRegVec_w2_i0_1221 |          0 |          0 |       0 |    0 |     2 |      0 |      0 |    0 |          0 |
|         intsource_1                                                                           |                                                    IntSyncCrossingSource_n1x2_1220 |          0 |          0 |       0 |    0 |     2 |      0 |      0 |    0 |          0 |
|           reg_0                                                                               |                                                             AsyncResetRegVec_w2_i0 |          0 |          0 |       0 |    0 |     2 |      0 |      0 |    0 |          0 |
|       coh_wrapper                                                                             |                                                            CoherenceManagerWrapper |       6811 |       6367 |     444 |    0 |  2960 |    120 |      4 |    0 |          0 |
|         InclusiveCache_inner_TLBuffer                                                         |                                                             TLBuffer_a32d64s4k3z3c |        283 |        283 |       0 |    0 |   200 |      0 |      0 |    0 |          0 |
|           nodeIn_d_q                                                                          |                                                     Queue1_TLBundleD_a32d64s4k3z3c |        229 |        229 |       0 |    0 |    81 |      0 |      0 |    0 |          0 |
|           nodeOut_a_q                                                                         |                                                     Queue1_TLBundleA_a32d64s4k3z3c |         54 |         54 |       0 |    0 |   119 |      0 |      0 |    0 |          0 |
|         cork                                                                                  |                                                                        TLCacheCork |        109 |         93 |      16 |    0 |    35 |      0 |      0 |    0 |          0 |
|           (cork)                                                                              |                                                                        TLCacheCork |         42 |         42 |       0 |    0 |    17 |      0 |      0 |    0 |          0 |
|           pool                                                                                |                                                                             IDPool |         20 |         20 |       0 |    0 |    12 |      0 |      0 |    0 |          0 |
|           q                                                                                   |                                                Queue2_TLBundleD_a32d64s3k3z3c_1216 |         22 |         14 |       8 |    0 |     3 |      0 |      0 |    0 |          0 |
|             (q)                                                                               |                                                Queue2_TLBundleD_a32d64s3k3z3c_1216 |          6 |          6 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|             ram_ext                                                                           |                                                                      ram_2x80_1219 |         16 |          8 |       8 |    0 |     0 |      0 |      0 |    0 |          0 |
